Title,Skills,Delivery Time,Price,Number of Reviews
do any raspberry pi development in 4 days for you!,linux,4 days,£115,56
develop a Telegram bot that can do anything,development,5 days,"£1,175",2
convert python script into executable windows program,development,2 days,£10,71
i will build rest api in python.........,script writing,1 day,£20,140
"do AI, python programing, regression, classification",artificial intelligence (AI),5 days,£130,79
quick Solution for Python project,Django-cms,1 day,£20,106
do your ESP8266 or ESP32 programming,embedded system,6 days,£25,65
"do web scraping, PDF data extraction, image ocr in python",data scraping,3 days,£185,16
write a program for you in python,artificial neural networks,1 day,£40,71
do C-language related Coding tasks,academic writing,3 days,£70,36
advanced Web Scraping and Data Extraction Services for 1 website,financial services,2 days,£45,20
teach you Python/Django from basic to advanced 1v1,Django-cms,5 days,£15,1
